FECHA DE INGRESO,FECHA ULTIMO REGISTRO,Estatus,Días Laborados,FECHA DE NACIMIENTO,No de Crédito Infonavit,PUESTO,AREA,TURNO,MUNICIPIO,SALARIO MENSUAL,ESCOLARIDAD,GENERO,Tipo de renuncia
2023-11-21,2023-11-22,baja,1,1979-08-26 00:00:00,SI,OP PRODUCCION,PRODUCCION,C,TALA,7500.0,SECUNDARIA,FEMENINO,VOLUNTARIA
2023-10-16,2023-10-17,baja,1,1993-09-02 00:00:00,NO,OP PRODUCCION,PRODUCCION,C,TALA,7500.0,SECUNDARIA_TRUNCA,FEMENINO,VOLUNTARIA
2022-02-21,2022-02-22,baja,1,1993-10-17 00:00:00,NO,OP PRODUCCION,PRODUCCION,C,TALA,6000.0,SECUNDARIA,FEMENINO,ABANDONO
2022-02-21,2022-02-22,baja,1,1999-08-27 00:00:00,NO,OP PRODUCCION,PRODUCCION,C,TALA,6000.0,SECUNDARIA,FEMENINO,ABANDONO
2023-10-23,2023-10-24,baja,1,2002-06-16 00:00:00,NO,OP PRODUCCION,PRODUCCION,C,TALA,7500.0,PREPARATORIA,FEMENINO,VOLUNTARIA
2023-12-20,2023-12-21,baja,1,1968-08-17 00:00:00,NO,OP PRENSA,PRENSA,C,TLAJOMULCO,18000.0,PREPARATORIA,MASCULINO,ABANDONO
2023-03-23,2023-03-24,baja,1,1991-01-23 06:10:00,NO,AUXILIAR ALMACEN,ALMACEN,B,TALA,7705.711805555556,SECUNDARIA_TRUNCA,FEMENINO,VOLUNTARIA
2023-10-30,2023-11-01,baja,2,2001-05-10 00:00:00,NO,OP PRODUCCION,PRODUCCION,C,TALA,7500.0,PREPARATORIA,FEMENINO,VOLUNTARIA
2023-12-20,2023-12-22,baja,2,2001-11-17 00:00:00,NO,AUXILIAR ALMACEN,ALMACEN,A,TALA,8100.0,PREPARATORIA_TRUNCA,MASCULINO,ABANDONO
2022-02-15,2022-02-17,baja,2,1991-01-23 06:10:00,NO,OP PRODUCCION,PRODUCCION,A,TALA,7705.711805555556,SECUNDARIA_TRUNCA,FEMENINO,VOLUNTARIA
2024-01-15,2024-01-18,baja,3,2001-10-05 00:00:00,NO,OP PRODUCCION,PRODUCCION,C,AHUISCULCO ,8100.0,PRIMARIA,FEMENINO,ABANDONO
